id;price;region;street_name;room_count;total_square;floor;subway;max_floor;street_number;living_square;kitchen_square
1926;135000;Дарницький;Ахматової Анни вул.;3;105;9;Позняки;16;35;62;17
1927;88000;Подільський;Івана Виговського вул. (Гречка маршала);2;75;14;Сирець;20;10Н;34;17
1929;51000;Оболонський;Оболонський просп.;1;36;9;Мінська;9;16Б;18,3;7
1931;92000;Оболонський;Богатирська вул.;3;100;10;Героїв Дніпра;21;6/1;54;11
1932;70000;Печерський;Фортечний тупик (Тверський);3;58;3;Печерська;5;6/8;41;7
1933;275000;Солом'янський;Миколи Волковича вул. (Боткіна);4;170;2;Політехнічний інститут;9;4;83;29
1937;225000;Шевченківський;Золотоустівська вул.;2;84;14;Лук'янівська;14;52;43;21
1938;165000;Подільський;Щекавицька вул.;2;77;2;Контрактова площа;9;46;40;16
1942;65000;Шевченківський;Коперника вул.;1;40;12;Лук'янівська;16;14;22;8
1944;76000;Дарницький;Урлівська вул.;2;55;5;Осокорки;24;21-Б;35;5
1945;54000;Дарницький;Чернігівська вул.;1;43,24;9;Вирлиця;26;8/4;10,38;20,86
1946;60000;Дарницький;Ревуцького вул.;1;46,67;18;Харківська;25;54б;18;10
1947;900000;Печерський;Саперне Поле вул.;5;228;3;Палац Україна;13;3;126,5;21,8
1952;117500;Шевченківський;Берестейський просп. (Перемоги);2;83;19;Політехнічний інститут;33;11;30;24
1953;88000;Голосіївський;Заболотного академіка вул.;1;49,3;15;Теремки;25;15в;17,5;17,2
1954;99000;Шевченківський;Теліги Олени вул.;1;40;13;Дорогожичі;25;25;15;20
1956;1250000;Печерський;Іоана Павла II вул. (Лумумби Патріса);5;195;30;Звіринецька;31;12;80;35
1962;185000;Шевченківський;Кудрявська вул.;3;112;3;Контрактова площа;15;24а;63;34
1964;270000;Голосіївський;Самійла Кішки вул. (Конєва);3;105;14;Іподром;22;12а;50;20
1967;319000;Голосіївський;Голосіївський просп. (40-річчя Жовтня);3;116;10;Голосіївська;22;76;84,3;20
1968;137000;Голосіївський;Стельмаха Михайла вул.;3;65;5;Голосіївська;5;7/2;31,8;16,8
1969;47000;Шевченківський;Казармена вул. (Андрющенка Григорія);1;36;2;Лук'янівська;9;4б;18;6,4
1970;499000;Солом'янський;Генерала Шаповала вул. (Механізаторів);3;170;25;Вокзальна;25;2;100;70
1971;1350000;Печерський;Лабораторний пров.;3;170;24;Олімпійська;24;7;100;70
1972;3100000;Печерський;Лабораторний пров.;4;270;24;Олімпійська;24;7;170;100
1973;120000;Святошинський;Берестейський просп. (Перемоги);2;84;21;Житомирська;25;131;45;13
1976;74500;Солом'янський;Ніщинського Петра вул.;3;59;5;Політехнічний інститут;5;12;37;6
1978;135000;Дарницький;Бориса Гмирі вул.;3;84;12;Позняки;25;16;48;17
1979;96000;Подільський;Івана Виговського вул. (Гречка маршала);1;42,51;12;Сирець;25;12К;15,25;11,98
1980;45000;Солом'янський;Метробудівська вул.;2;40;5;Нивки;5;8;20;5
1981;125000;Дарницький;Причальна вул.;2;79,8;20;Славутич;26;14;30,5;22
1983;265000;Печерський;Лесі Українки бульв.;2;65;24;Кловська;31;7в;22;18
1984;250000;Шевченківський;Руданського;5;190;15;Сирець;21;3а;108;30
1985;440000;Печерський;Іоана Павла II вул. (Лумумби Патріса);2;84;11;Палац Україна;31;12;58;25
1988;125000;Голосіївський;Велика Васильківська вул. (Червоноармійська);2;46;3;Палац Україна;4;110;27;6
1989;330000;Печерський;Андрія Верхогляда вул. (Драгомирова);2;67;7;Звіринецька;30;11;40;10
1990;310000;Печерський;Андрія Верхогляда вул. (Драгомирова);3;92;27;Звіринецька;30;17;60;25
1991;42500;Шевченківський;Берлінського Максима вул.;1;29;2;Дорогожичі;9;25;13;8
1994;170000;Святошинський;Львівська вул.;2;58;24;Житомирська;26;15;29;20
1996;280000;Шевченківський;Кудрявська вул.;4;207;6;Контрактова площа;8;13-19;111;37
1997;255000;Солом'янський;Генерала Шаповала вул. (Механізаторів);3;104;24;Вокзальна;25;2;37;16
1998;204000;Солом'янський;Липківского Василя вул. (Урицького);2;71;8;Вокзальна;25;16а;30;23
1999;99000;Святошинський;Берестейський провулок;1;50;7;Нивки;17;67Г;18;14
